id,value
az,азербайджанский
az_AZ,"азербайджанский (Азербайджан)"
az_Cyrl_AZ,"азербайджанский (кириллица, Азербайджан)"
az_Cyrl,"азербайджанский (кириллица)"
az_Latn_AZ,"азербайджанский (латиница, Азербайджан)"
az_Latn,"азербайджанский (латиница)"
ak,акан
ak_GH,"акан (Гана)"
sq,албанский
sq_AL,"албанский (Албания)"
sq_XK,"албанский (Косово)"
sq_MK,"албанский (Македония)"
am,амхарский
am_ET,"амхарский (Эфиопия)"
en,английский
en_AU,"английский (Австралия)"
en_AS,"английский (Американское Самоа)"
en_AI,"английский (Ангилья)"
en_AG,"английский (Антигуа и Барбуда)"
en_BS,"английский (Багамские о-ва)"
en_BB,"английский (Барбадос)"
en_BZ,"английский (Белиз)"
en_BE,"английский (Бельгия)"
en_BM,"английский (Бермудские о-ва)"
en_BW,"английский (Ботсвана)"
en_IO,"английский (Британская территория в Индийском океане)"
en_VU,"английский (Вануату)"
en_GB,"английский (Великобритания)"
en_VG,"английский (Виргинские о-ва (Британские))"
en_VI,"английский (Виргинские о-ва (США))"
en_UM,"английский (Внешние малые о-ва (США))"
en_GY,"английский (Гайана)"
en_GM,"английский (Гамбия)"
en_GH,"английский (Гана)"
en_GG,"английский (Гернси)"
en_GI,"английский (Гибралтар)"
en_HK,"английский (Гонконг (особый район))"
en_GD,"английский (Гренада)"
en_GU,"английский (Гуам)"
en_JE,"английский (Джерси)"
en_DG,"английский (Диего-Гарсия)"
en_DM,"английский (Доминика)"
en_ZM,"английский (Замбия)"
en_ZW,"английский (Зимбабве)"
en_IN,"английский (Индия)"
en_IE,"английский (Ирландия)"
en_KY,"английский (Каймановы о-ва)"
en_CM,"английский (Камерун)"
en_CA,"английский (Канада)"
en_KE,"английский (Кения)"
en_KI,"английский (Кирибати)"
en_CC,"английский (Кокосовые о-ва)"
en_LS,"английский (Лесото)"
en_LR,"английский (Либерия)"
en_MU,"английский (Маврикий)"
en_MG,"английский (Мадагаскар)"
en_MO,"английский (Макао (особый район))"
en_MW,"английский (Малави)"
en_MY,"английский (Малайзия)"
en_MT,"английский (Мальта)"
en_MH,"английский (Маршалловы о-ва)"
en_MS,"английский (Монтсеррат)"
en_NA,"английский (Намибия)"
en_NR,"английский (Науру)"
en_NG,"английский (Нигерия)"
en_NU,"английский (Ниуэ)"
en_NZ,"английский (Новая Зеландия)"
en_IM,"английский (О-в Мэн)"
en_NF,"английский (о-в Норфолк)"
en_CX,"английский (о-в Рождества)"
en_SH,"английский (О-в Св. Елены)"
en_CK,"английский (о-ва Кука)"
en_TC,"английский (О-ва Тёркс и Кайкос)"
en_PK,"английский (Пакистан)"
en_PW,"английский (Палау)"
en_PG,"английский (Папуа – Новая Гвинея)"
en_PN,"английский (Питкэрн)"
en_PR,"английский (Пуэрто-Рико)"
en_RW,"английский (Руанда)"
en_WS,"английский (Самоа)"
en_SZ,"английский (Свазиленд)"
en_MP,"английский (Северные Марианские о-ва)"
en_SC,"английский (Сейшельские о-ва)"
en_VC,"английский (Сент-Винсент и Гренадины)"
en_KN,"английский (Сент-Китс и Невис)"
en_LC,"английский (Сент-Люсия)"
en_SG,"английский (Сингапур)"
en_SX,"английский (Синт-Мартен)"
en_US,"английский (Соединенные Штаты)"
en_SB,"английский (Соломоновы о-ва)"
en_SD,"английский (Судан)"
en_SL,"английский (Сьерра-Леоне)"
en_TZ,"английский (Танзания)"
en_TK,"английский (Токелау)"
en_TO,"английский (Тонга)"
en_TT,"английский (Тринидад и Тобаго)"
en_TV,"английский (Тувалу)"
en_UG,"английский (Уганда)"
en_FM,"английский (Федеративные Штаты Микронезии)"
en_FJ,"английский (Фиджи)"
en_PH,"английский (Филиппины)"
en_FK,"английский (Фолклендские о-ва)"
en_ER,"английский (Эритрея)"
en_ZA,"английский (ЮАР)"
en_SS,"английский (Южный Судан)"
en_JM,"английский (Ямайка)"
ar,арабский
ar_DZ,"арабский (Алжир)"
ar_BH,"арабский (Бахрейн)"
ar_DJ,"арабский (Джибути)"
ar_EG,"арабский (Египет)"
ar_EH,"арабский (Западная Сахара)"
ar_IL,"арабский (Израиль)"
ar_JO,"арабский (Иордания)"
ar_IQ,"арабский (Ирак)"
ar_YE,"арабский (Йемен)"
ar_QA,"арабский (Катар)"
ar_KM,"арабский (Коморские о-ва)"
ar_KW,"арабский (Кувейт)"
ar_LB,"арабский (Ливан)"
ar_LY,"арабский (Ливия)"
ar_MR,"арабский (Мавритания)"
ar_MA,"арабский (Марокко)"
ar_AE,"арабский (ОАЭ)"
ar_OM,"арабский (Оман)"
ar_PS,"арабский (Палестинские территории)"
ar_SA,"арабский (Саудовская Аравия)"
ar_SY,"арабский (Сирия)"
ar_SO,"арабский (Сомали)"
ar_SD,"арабский (Судан)"
ar_TN,"арабский (Тунис)"
ar_TD,"арабский (Чад)"
ar_ER,"арабский (Эритрея)"
ar_SS,"арабский (Южный Судан)"
hy,армянский
hy_AM,"армянский (Армения)"
as,ассамский
as_IN,"ассамский (Индия)"
af,африкаанс
af_NA,"африкаанс (Намибия)"
af_ZA,"африкаанс (ЮАР)"
bm,бамбарийский
bm_Latn_ML,"бамбарийский (латиница, Мали)"
bm_Latn,"бамбарийский (латиница)"
eu,баскский
eu_ES,"баскский (Испания)"
be,белорусский
be_BY,"белорусский (Беларусь)"
bn,бенгальский
bn_BD,"бенгальский (Бангладеш)"
bn_IN,"бенгальский (Индия)"
my,бирманский
my_MM,"бирманский (Мьянма (Бирма))"
bg,болгарский
bg_BG,"болгарский (Болгария)"
bs,боснийский
bs_BA,"боснийский (Босния и Герцеговина)"
bs_Cyrl_BA,"боснийский (кириллица, Босния и Герцеговина)"
bs_Cyrl,"боснийский (кириллица)"
bs_Latn_BA,"боснийский (латиница, Босния и Герцеговина)"
bs_Latn,"боснийский (латиница)"
br,бретонский
br_FR,"бретонский (Франция)"
cy,валлийский
cy_GB,"валлийский (Великобритания)"
hu,венгерский
hu_HU,"венгерский (Венгрия)"
vi,вьетнамский
vi_VN,"вьетнамский (Вьетнам)"
gl,галисийский
gl_ES,"галисийский (Испания)"
lg,ганда
lg_UG,"ганда (Уганда)"
nl,голландский
nl_AW,"голландский (Аруба)"
nl_BE,"голландский (Бельгия)"
nl_BQ,"голландский (Бонэйр, Синт-Эстатиус и Саба)"
nl_CW,"голландский (Кюрасао)"
nl_NL,"голландский (Нидерланды)"
nl_SX,"голландский (Синт-Мартен)"
nl_SR,"голландский (Суринам)"
kl,гренландский
kl_GL,"гренландский (Гренландия)"
el,греческий
el_GR,"греческий (Греция)"
el_CY,"греческий (Кипр)"
ka,грузинский
ka_GE,"грузинский (Грузия)"
gu,гуджарати
gu_IN,"гуджарати (Индия)"
gd,гэльский
gd_GB,"гэльский (Великобритания)"
da,датский
da_GL,"датский (Гренландия)"
da_DK,"датский (Дания)"
dz,дзонг-кэ
dz_BT,"дзонг-кэ (Бутан)"
fy,западно-фризский
fy_NL,"западно-фризский (Нидерланды)"
zu,зулу
zu_ZA,"зулу (ЮАР)"
he,иврит
he_IL,"иврит (Израиль)"
ig,игбо
ig_NG,"игбо (Нигерия)"
yi,идиш
id,индонезийский
id_ID,"индонезийский (Индонезия)"
ga,ирландский
ga_IE,"ирландский (Ирландия)"
is,исландский
is_IS,"исландский (Исландия)"
es,испанский
es_AR,"испанский (Аргентина)"
es_BO,"испанский (Боливия)"
es_VE,"испанский (Венесуэла)"
es_GT,"испанский (Гватемала)"
es_HN,"испанский (Гондурас)"
es_DO,"испанский (Доминиканская Республика)"
es_ES,"испанский (Испания)"
es_IC,"испанский (Канарские о-ва)"
es_CO,"испанский (Колумбия)"
es_CR,"испанский (Коста-Рика)"
es_CU,"испанский (Куба)"
es_MX,"испанский (Мексика)"
es_NI,"испанский (Никарагуа)"
es_PA,"испанский (Панама)"
es_PY,"испанский (Парагвай)"
es_PE,"испанский (Перу)"
es_PR,"испанский (Пуэрто-Рико)"
es_SV,"испанский (Сальвадор)"
es_EA,"испанский (Сеута и Мелилья)"
es_US,"испанский (Соединенные Штаты)"
es_UY,"испанский (Уругвай)"
es_PH,"испанский (Филиппины)"
es_CL,"испанский (Чили)"
es_EC,"испанский (Эквадор)"
es_GQ,"испанский (Экваториальная Гвинея)"
it,итальянский
it_IT,"итальянский (Италия)"
it_SM,"итальянский (Сан-Марино)"
it_CH,"итальянский (Швейцария)"
yo,йоруба
yo_BJ,"йоруба (Бенин)"
yo_NG,"йоруба (Нигерия)"
kk,казахский
kk_KZ,"казахский (Казахстан)"
kk_Cyrl_KZ,"казахский (кириллица, Казахстан)"
kk_Cyrl,"казахский (кириллица)"
kn,каннада
kn_IN,"каннада (Индия)"
ca,каталанский
ca_AD,"каталанский (Андорра)"
ca_ES,"каталанский (Испания)"
ca_IT,"каталанский (Италия)"
ca_FR,"каталанский (Франция)"
ks,кашмири
ks_Arab_IN,"кашмири (арабица, Индия)"
ks_Arab,"кашмири (арабица)"
ks_IN,"кашмири (Индия)"
qu,кечуа
qu_BO,"кечуа (Боливия)"
qu_PE,"кечуа (Перу)"
qu_EC,"кечуа (Эквадор)"
ki,кикуйю
ki_KE,"кикуйю (Кения)"
rw,киньяруанда
rw_RW,"киньяруанда (Руанда)"
ky,киргизский
ky_KG,"киргизский (Киргизия)"
ky_Cyrl_KG,"киргизский (кириллица, Киргизия)"
ky_Cyrl,"киргизский (кириллица)"
zh,китайский
zh_HK,"китайский (Гонконг (особый район))"
zh_CN,"китайский (Китай)"
zh_MO,"китайский (Макао (особый район))"
zh_SG,"китайский (Сингапур)"
zh_TW,"китайский (Тайвань)"
zh_Hant_HK,"китайский (традиционная китайская, Гонконг (особый район))"
zh_Hant_MO,"китайский (традиционная китайская, Макао (особый район))"
zh_Hant_TW,"китайский (традиционная китайская, Тайвань)"
zh_Hant,"китайский (традиционная китайская)"
zh_Hans_HK,"китайский (упрощенная китайская, Гонконг (особый район))"
zh_Hans_CN,"китайский (упрощенная китайская, Китай)"
zh_Hans_MO,"китайский (упрощенная китайская, Макао (особый район))"
zh_Hans_SG,"китайский (упрощенная китайская, Сингапур)"
zh_Hans,"китайский (упрощенная китайская)"
ko,корейский
ko_KP,"корейский (КНДР)"
ko_KR,"корейский (Республика Корея)"
kw,корнийский
kw_GB,"корнийский (Великобритания)"
km,кхмерский
km_KH,"кхмерский (Камбоджа)"
lo,лаосский
lo_LA,"лаосский (Лаос)"
lv,латышский
lv_LV,"латышский (Латвия)"
ln,лингала
ln_AO,"лингала (Ангола)"
ln_CG,"лингала (Конго - Браззавиль)"
ln_CD,"лингала (Конго - Киншаса)"
ln_CF,"лингала (ЦАР)"
lt,литовский
lt_LT,"литовский (Литва)"
lu,луба-катанга
lu_CD,"луба-катанга (Конго - Киншаса)"
lb,люксембургский
lb_LU,"люксембургский (Люксембург)"
mk,македонский
mk_MK,"македонский (Македония)"
mg,малагасийский
mg_MG,"малагасийский (Мадагаскар)"
ms,малайский
ms_BN,"малайский (Бруней-Даруссалам)"
ms_Latn_BN,"малайский (латиница, Бруней-Даруссалам)"
ms_Latn_MY,"малайский (латиница, Малайзия)"
ms_Latn_SG,"малайский (латиница, Сингапур)"
ms_Latn,"малайский (латиница)"
ms_MY,"малайский (Малайзия)"
ms_SG,"малайский (Сингапур)"
ml,малаялам
ml_IN,"малаялам (Индия)"
mt,мальтийский
mt_MT,"мальтийский (Мальта)"
mr,маратхи
mr_IN,"маратхи (Индия)"
mn,монгольский
mn_Cyrl_MN,"монгольский (кириллица, Монголия)"
mn_Cyrl,"монгольский (кириллица)"
mn_MN,"монгольский (Монголия)"
gv,мэнский
gv_IM,"мэнский (О-в Мэн)"
de,немецкий
de_AT,"немецкий (Австрия)"
de_BE,"немецкий (Бельгия)"
de_DE,"немецкий (Германия)"
de_LI,"немецкий (Лихтенштейн)"
de_LU,"немецкий (Люксембург)"
de_CH,"немецкий (Швейцария)"
ne,непальский
ne_IN,"непальский (Индия)"
ne_NP,"непальский (Непал)"
no,норвежский
no_NO,"норвежский (Норвегия)"
nb,"норвежский букмол"
nb_NO,"норвежский букмол (Норвегия)"
nb_SJ,"норвежский букмол (Шпицберген и Ян-Майен)"
nn,"норвежский нюнорск"
nn_NO,"норвежский нюнорск (Норвегия)"
or,ория
or_IN,"ория (Индия)"
om,оромо
om_KE,"оромо (Кения)"
om_ET,"оромо (Эфиопия)"
os,осетинский
os_GE,"осетинский (Грузия)"
os_RU,"осетинский (Россия)"
pa,панджаби
pa_Arab_PK,"панджаби (арабица, Пакистан)"
pa_Arab,"панджаби (арабица)"
pa_Guru_IN,"панджаби (гурмукхи, Индия)"
pa_Guru,"панджаби (гурмукхи)"
pa_IN,"панджаби (Индия)"
pa_PK,"панджаби (Пакистан)"
fa,персидский
fa_AF,"персидский (Афганистан)"
fa_IR,"персидский (Иран)"
pl,польский
pl_PL,"польский (Польша)"
pt,португальский
pt_AO,"португальский (Ангола)"
pt_BR,"португальский (Бразилия)"
pt_TL,"португальский (Восточный Тимор)"
pt_GW,"португальский (Гвинея-Бисау)"
pt_CV,"португальский (Кабо-Верде)"
pt_MO,"португальский (Макао (особый район))"
pt_MZ,"португальский (Мозамбик)"
pt_PT,"португальский (Португалия)"
pt_ST,"португальский (Сан-Томе и Принсипи)"
ps,пушту
ps_AF,"пушту (Афганистан)"
rm,романшский
rm_CH,"романшский (Швейцария)"
ro,румынский
ro_MD,"румынский (Молдова)"
ro_RO,"румынский (Румыния)"
rn,рунди
rn_BI,"рунди (Бурунди)"
ru,русский
ru_BY,"русский (Беларусь)"
ru_KZ,"русский (Казахстан)"
ru_KG,"русский (Киргизия)"
ru_MD,"русский (Молдова)"
ru_RU,"русский (Россия)"
ru_UA,"русский (Украина)"
sg,санго
sg_CF,"санго (ЦАР)"
se,северносаамский
se_NO,"северносаамский (Норвегия)"
se_FI,"северносаамский (Финляндия)"
se_SE,"северносаамский (Швеция)"
nd,"северный ндебели"
nd_ZW,"северный ндебели (Зимбабве)"
sr,сербский
sr_BA,"сербский (Босния и Герцеговина)"
sr_Cyrl_BA,"сербский (кириллица, Босния и Герцеговина)"
sr_Cyrl_XK,"сербский (кириллица, Косово)"
sr_Cyrl_RS,"сербский (кириллица, Сербия)"
sr_Cyrl_ME,"сербский (кириллица, Черногория)"
sr_Cyrl,"сербский (кириллица)"
sr_XK,"сербский (Косово)"
sr_Latn_BA,"сербский (латиница, Босния и Герцеговина)"
sr_Latn_XK,"сербский (латиница, Косово)"
sr_Latn_RS,"сербский (латиница, Сербия)"
sr_Latn_ME,"сербский (латиница, Черногория)"
sr_Latn,"сербский (латиница)"
sr_RS,"сербский (Сербия)"
sr_ME,"сербский (Черногория)"
sh,сербскохорватский
sh_BA,"сербскохорватский (Босния и Герцеговина)"
si,сингальский
si_LK,"сингальский (Шри-Ланка)"
sk,словацкий
sk_SK,"словацкий (Словакия)"
sl,словенский
sl_SI,"словенский (Словения)"
so,сомали
so_DJ,"сомали (Джибути)"
so_KE,"сомали (Кения)"
so_SO,"сомали (Сомали)"
so_ET,"сомали (Эфиопия)"
sw,суахили
sw_KE,"суахили (Кения)"
sw_TZ,"суахили (Танзания)"
sw_UG,"суахили (Уганда)"
ii,сычуань
ii_CN,"сычуань (Китай)"
tl,тагалог
tl_PH,"тагалог (Филиппины)"
th,тайский
th_TH,"тайский (Таиланд)"
ta,тамильский
ta_IN,"тамильский (Индия)"
ta_MY,"тамильский (Малайзия)"
ta_SG,"тамильский (Сингапур)"
ta_LK,"тамильский (Шри-Ланка)"
te,телугу
te_IN,"телугу (Индия)"
bo,тибетский
bo_IN,"тибетский (Индия)"
bo_CN,"тибетский (Китай)"
ti,тигринья
ti_ER,"тигринья (Эритрея)"
ti_ET,"тигринья (Эфиопия)"
to,тонганский
to_TO,"тонганский (Тонга)"
tr,турецкий
tr_CY,"турецкий (Кипр)"
tr_TR,"турецкий (Турция)"
uz,узбекский
uz_Arab_AF,"узбекский (арабица, Афганистан)"
uz_Arab,"узбекский (арабица)"
uz_AF,"узбекский (Афганистан)"
uz_Cyrl_UZ,"узбекский (кириллица, Узбекистан)"
uz_Cyrl,"узбекский (кириллица)"
uz_Latn_UZ,"узбекский (латиница, Узбекистан)"
uz_Latn,"узбекский (латиница)"
uz_UZ,"узбекский (Узбекистан)"
ug,уйгурский
ug_Arab_CN,"уйгурский (арабица, Китай)"
ug_Arab,"уйгурский (арабица)"
ug_CN,"уйгурский (Китай)"
uk,украинский
uk_UA,"украинский (Украина)"
ur,урду
ur_IN,"урду (Индия)"
ur_PK,"урду (Пакистан)"
fo,фарерский
fo_FO,"фарерский (Фарерские о-ва)"
fi,финский
fi_FI,"финский (Финляндия)"
fr,французский
fr_DZ,"французский (Алжир)"
fr_BE,"французский (Бельгия)"
fr_BJ,"французский (Бенин)"
fr_BF,"французский (Буркина-Фасо)"
fr_BI,"французский (Бурунди)"
fr_VU,"французский (Вануату)"
fr_GA,"французский (Габон)"
fr_HT,"французский (Гаити)"
fr_GP,"французский (Гваделупа)"
fr_GN,"французский (Гвинея)"
fr_DJ,"французский (Джибути)"
fr_CM,"французский (Камерун)"
fr_CA,"французский (Канада)"
fr_KM,"французский (Коморские о-ва)"
fr_CG,"французский (Конго - Браззавиль)"
fr_CD,"французский (Конго - Киншаса)"
fr_CI,"французский (Кот-д’Ивуар)"
fr_LU,"французский (Люксембург)"
fr_MU,"французский (Маврикий)"
fr_MR,"французский (Мавритания)"
